File_Name,Channel_1_mean,Channel_1_std,Channel_1_max,Channel_1_min,Channel_1_rms,Channel_1_peak_to_peak,Channel_2_mean,Channel_2_std,Channel_2_max,Channel_2_min,Channel_2_rms,Channel_2_peak_to_peak,Channel_3_mean,Channel_3_std,Channel_3_max,Channel_3_min,Channel_3_rms,Channel_3_peak_to_peak,Channel_4_mean,Channel_4_std,Channel_4_max,Channel_4_min,Channel_4_rms,Channel_4_peak_to_peak,Channel_5_mean,Channel_5_std,Channel_5_max,Channel_5_min,Channel_5_rms,Channel_5_peak_to_peak,Channel_6_mean,Channel_6_std,Channel_6_max,Channel_6_min,Channel_6_rms,Channel_6_peak_to_peak,Channel_7_mean,Channel_7_std,Channel_7_max,Channel_7_min,Channel_7_rms,Channel_7_peak_to_peak,Channel_8_mean,Channel_8_std,Channel_8_max,Channel_8_min,Channel_8_rms,Channel_8_peak_to_peak
2003.10.22.12.06,-0.09459287109375,0.08112208481351546,0.388,-0.72,0.12461381908219489,1.108,-0.093880126953125,0.07064816223878903,0.701,-0.564,0.11749315326627814,1.265,-0.09381650390625,0.0906479137039076,0.359,-0.674,0.1304552822390205,1.033,-0.093751513671875,0.07750778956980943,0.256,-0.53,0.12164211343019993,0.786,-0.09081186523437501,0.09146079412059212,0.4,-0.496,0.12888705027471,0.896,-0.09088061523437499,0.09548571481434205,0.415,-0.784,0.1318211210655727,1.199,-0.09096875,0.06008455467869842,0.249,-0.413,0.10902048975995293,0.6619999999999999,-0.09423520507812501,0.06638000658537441,0.374,-0.471,0.1152674244979501,0.845
2003.10.22.12.09,-0.09490263671875,0.07951541832160738,0.388,-0.654,0.12381119580648291,1.042,-0.09389111328125,0.0695290951852261,0.581,-0.491,0.11683251358448447,1.072,-0.09561953125,0.09025796942271372,0.291,-0.645,0.13148990760047424,0.9359999999999999,-0.09507626953125001,0.07673906708667758,0.242,-0.625,0.12218175577929997,0.867,-0.09149619140625001,0.09173211723900666,0.493,-0.566,0.12956208695061994,1.059,-0.09235102539062501,0.09438343026256389,0.417,-0.576,0.13204902043872996,0.9929999999999999,-0.0912599609375,0.05941987858530362,0.376,-0.42,0.1088995061577703,0.796,-0.08794619140625,0.06474435556318009,0.273,-0.627,0.1092078942208678,0.9
2003.10.22.12.14,-0.09618681640625,0.08021689203402925,0.317,-0.623,0.125246370877438,0.94,-0.095862744140625,0.06946373026938908,0.549,-0.469,0.11838443959029994,1.018,-0.096212548828125,0.09023435951703092,0.339,-0.613,0.13190562607202594,0.952,-0.096572607421875,0.07709636511093464,0.286,-0.432,0.12357231897790916,0.718,-0.093916455078125,0.09181285420887646,0.386,-0.601,0.1313388774598819,0.987,-0.094459765625,0.09405497759758687,0.364,-0.62,0.13330036058770622,0.984,-0.092596875,0.05996787461906687,0.261,-0.396,0.11031920615239102,0.657,-0.093106201171875,0.06525336662637965,0.376,-0.601,0.11369593903361006,0.977
2003.10.22.12.19,-0.095612744140625,0.08082454644654682,0.457,-0.598,0.1251974606387471,1.055,-0.09530654296874999,0.0712653524863384,0.535,-0.474,0.11900456965031322,1.009,-0.09577695312500001,0.0902722150425329,0.286,-0.598,0.13161419968450877,0.8839999999999999,-0.095974609375,0.07652793696792147,0.244,-0.483,0.12275035959723296,0.727,-0.09299296875,0.09238509252934303,0.322,-0.552,0.13108278894879277,0.8740000000000001,-0.092921875,0.0965051657761613,0.352,-0.684,0.1339691079129812,1.036,-0.093484765625,0.059915339542099474,0.198,-0.393,0.11103715286518405,0.591,-0.093243994140625,0.0663013840240154,0.327,-0.525,0.11441291870587375,0.8520000000000001
2003.10.22.12.24,-0.095133056640625,0.0820342530464166,0.388,-0.623,0.12561814016563005,1.0110000000000001,-0.095494970703125,0.072152932565705,0.386,-0.537,0.11968849195900948,0.923,-0.095951806640625,0.0888614049446003,0.349,-0.725,0.13077881512817022,1.0739999999999998,-0.09522880859374999,0.0760445175060055,0.266,-0.571,0.12186588788051499,0.837,-0.093756103515625,0.0919316239032537,0.471,-0.527,0.13130738905302275,0.998,-0.0934376953125,0.09504276753701286,0.432,-0.623,0.1332806458808114,1.055,-0.092901708984375,0.0592551764369947,0.215,-0.376,0.1101903056842882,0.591,-0.09306953125,0.06627860046990298,0.349,-0.522,0.1142575622326319,0.871
2003.10.22.12.29,-0.095882373046875,0.08172865727368384,0.432,-0.564,0.12598810610870922,0.996,-0.095218505859375,0.07184606659021978,0.703,-0.591,0.11928294573231382,1.294,-0.0945318359375,0.08986757380952588,0.322,-0.701,0.13043177844423115,1.023,-0.0948474609375,0.07628022757276726,0.237,-0.427,0.1217157096058013,0.6639999999999999,-0.09273471679687499,0.09353487289288293,0.354,-0.522,0.13171370523405823,0.876,-0.09330078124999999,0.0962993651784094,0.464,-0.559,0.134084314950053,1.0230000000000001,-0.10476884765625001,0.058605477878300574,0.159,-0.4,0.12004629722137414,0.559,-0.09304150390625,0.06540275190780022,0.251,-0.43,0.11372880640475394,0.681
2003.10.22.12.34,-0.09557329101562499,0.08131324281168492,0.439,-0.667,0.1254834547345162,1.106,-0.09483818359375,0.07078646426035078,0.381,-0.5,0.118342742024358,0.881,-0.0953537109375,0.09066465773392736,0.261,-0.598,0.13157663299979408,0.859,-0.09509804687500001,0.07678910760626505,0.256,-0.464,0.12223013362672173,0.72,-0.093152490234375,0.09215323854147256,0.31,-0.508,0.13103284248823605,0.8180000000000001,-0.0929431640625,0.09513800826868543,0.388,-0.596,0.13300252765748946,0.984,-0.018549267578125,0.06349368981973323,0.332,-0.308,0.06614774353376973,0.64,-0.0922509765625,0.06471112264191972,0.283,-0.466,0.11268439142273655,0.749
2003.10.22.12.39,-0.095951806640625,0.08022926238371189,0.381,-0.603,0.12507391310834717,0.984,-0.0951931640625,0.07094270831753048,0.437,-0.505,0.11872070732461229,0.942,-0.094996337890625,0.08876004254508095,0.264,-0.613,0.13001018946695822,0.877,-0.09525029296875001,0.07645377835348326,0.251,-0.588,0.12213844003898303,0.839,-0.093286376953125,0.09164887015315624,0.623,-0.544,0.13077409347952149,1.167,-0.09305820312499999,0.09581573314370136,0.374,-0.605,0.13356827425222934,0.979,-0.09992758789062499,0.058406325914895904,0.193,-0.398,0.11574464017186983,0.591,-0.09289189453125,0.06492601959337163,0.256,-0.532,0.11333266117869001,0.788
2003.10.22.12.44,-0.095882080078125,0.0808126414536745,0.413,-0.696,0.12539559920040305,1.109,-0.095117578125,0.07180527898035786,0.579,-0.464,0.11917781571170241,1.043,-0.0966978515625,0.088710137478633,0.288,-0.61,0.13122485659463015,0.8979999999999999,-0.09609072265625,0.07601220972457085,0.229,-0.479,0.12252054116682842,0.708,-0.09410791015625,0.09107296812648047,0.347,-0.574,0.1309602392993528,0.9209999999999999,-0.093211181640625,0.09360286048089177,0.332,-0.693,0.13209776634389725,1.025,-0.056903320312500005,0.06029562368090469,0.239,-0.388,0.08290687605775682,0.627,-0.092785498046875,0.06423132430609874,0.449,-0.505,0.11284862280915028,0.954
2003.10.22.12.49,-0.09476796875,0.08124640057757342,0.479,-0.625,0.12482766323140276,1.104,-0.094828173828125,0.07143537915968903,0.459,-0.535,0.11872403272827968,0.994,-0.094948779296875,0.08852838562848893,0.293,-0.491,0.12981735535726002,0.784,-0.09515668945312498,0.07576852283059836,0.298,-0.542,0.12163743091503279,0.8400000000000001,-0.093294091796875,0.09197682380598324,0.435,-0.535,0.1310096320185681,0.97,-0.09279960937500001,0.09557813332640427,0.466,-0.657,0.13321766801108817,1.123,-0.079500732421875,0.05982517090391225,0.286,-0.396,0.09949581664219292,0.6819999999999999,-0.09246245117187499,0.06597457604134722,0.283,-0.464,0.11358674905351801,0.747
